clinical_text,disease
I ' ve been coughing and thick mucus. I have a fever and chest pain. shallow and. also hear some crackling in my chest. My chest doesn ' t expand well when I.,Chest Changes
"Chest not even, and I can hardly breathe. I often get pneumonia, I. heart rate high, my is blue, have patience, I can ' t at all.",Chest Changes
"My breathing is hard, I ' m fast and hard. chest empty, stomach is swelling, my blood is so much carbon, my nails blue, my face is strange. My are, my nose is flat, my are low.",Chest Changes
'I felt fever and coughed the thick mucus. It is difficult to breathe and I hear cracking noises in my chest. My chest pain is very bad and I notice that my breathing is fast and shallow. My chest does not develop well when I breathe.',Chest Changes
"'I have an abnormal that affects my health, have lung infections and I have breathing challenges, my heart my skin is blue, chest is uneven and have.'",Chest Changes
My pain is very bad and I fever. I cough and produce thick. My breathing shallow fast. hear some wheezing noises in chest. My chest doesn ' t expand much when I breathe.,Chest Changes
'I have a lung that is not fully developed and it causes me problems. I have lung infections often and I have difficulty breathing. My heart is high and my skin is blue. My chest is not the same and I have limited ability to exercise.',Chest Changes
"'I had a lot of carbon dioxide in my blood. My lips and nails were sometimes blue. My face was different from the other kids. My eyes were wide, my nose was flat, and my ears were low.'",Chest Changes
"'I had difficulty breathing. I fast and hard. My was hollowed and my abdomen was inflated. My blood had much carbon. and nails got blue. My face was strange. My eyes wide apart, nose flat, my ears were low.'",Chest Changes
"My chest is, and ' easily out breath, I often get lung infections and I need antibiotics, high heart rate and blue skin, have and I ' t at all.",Chest Changes
'I have in my esophagus. affects my digestion me burp and. I also have headaches and nausea. I have heartburn and reflux. The doctor said it could cause esophageal damage and ulcer. He said I need or surgery.',Chest Changes
"'I have sown a rock with, and spread my couch upon rock; I have diggeded my fruit as it were I; and was ordained to men for up in them; yea, was said, Fear me; yea, it is good; and I shall be midst.'",Chest Changes
One of my is not formed and it causes a lot problems. catch lung infections easily and to breathe. My heart fast and my skin is. My chest is not same size on both sides and I can ' t do much exercise.,Chest Changes
"'I breathing. I breathed quickly and difficulty. My was concave and abdomen was distended. My blood contained a lot of carbon. My lips and nails became blue. My face. My eyes wide apart, my nose was flat my ears were low.'",Chest Changes
"I not healed. I am so troubled that I ' t bear. I have been hidden from confounded, there was no strength heart. My yearns I, that I ' t go in.",Chest Changes
'I have a one my lungs did not develop properly. I have to with frequent infections in my lungs and difficulty breathing. My heart elevated skin color is not normal. My chest is asymmetrical and I have for physical activity.',Chest Changes
"My is very fast hard. It feels like I can ' t get enough air. chest caved in belly sticks out. I have a lot carbon dioxide in my. My lips and toenails are blue. eyes, nose, and ears are not.",Chest Changes
"'I with. breathe rapidly and with. My chest is concave and my abdomen distended. My blood contains a lot of. My lips and nails became blue. My face is abnormal. My eyes are wide apart, nose is flat, my are low - set.'",Chest Changes
'Have a in my spleen. It my immune system and makes me prone infections and diseases. I have headaches and nausea. Sometimes I have fever and anemia. The doctor said it cause enlargement and rupture. He said I might antibiotics.',Chest Changes
"'I have a deformity in my throat, and it affects my voice and makes me nervous and annoying, and I also have headaches and nausea, and sometimes I have cough and strangulation problems, and the doctor said that it can cause voice loss and laryng cancer, and he said that I might need voice therapy or surgery.'",Chest Changes
'I had a fever for a few days and then I started cough up phlegm. It was hard and I felt crackling sounds my chest. My pain severe and I noticed my breathing shallow fast.',Chest Changes
"'I looked at the gates, and saw the, and bag was beside me; I with my robe, mouth did tear away, and face was consumed grief: my eyes were feeble, yea, my was broken down, and my broken.'",Chest Changes
'My severe and have fever. I cough a and. My is superficial and fast. I hear whistles in my chest. My chest does not extend much when.',Chest Changes
I have high and chest pain. cough up sputum hear some crackling sounds in my chest. My breathing shallow and rapid. also hear wheezing sounds I breathe. My doesn ' t seem to move when I inhale.,Chest Changes
