clinical_text,disease
'I fatigue. My skin and nails are blue my are. I have lung infection proteinosis.',Degenerative Infectious Diseases
I experience severe chest pain and a cough with blood and phlegm. I also have a fever and fatigue. My skin and nails are blue and my fingers are clubbed. I have a lung infection and proteinosis.,Degenerative Infectious Diseases
Have PAP and a lung infection. It ' s a disease that affects the lungs. I have chest pain and fever. I cough and. I ' m tired and I have lost weight. My skin nails are and my fingers are clubbed. I have trouble breathing and I awful.,Degenerative Infectious Diseases
"I have a lot and coughs, sometimes with blood and slime. a fever and I '. My skin nails are swollen and my fingers are deformed. have protein disease and lung infection.",Degenerative Infectious Diseases
Have PAP and a lung infection. I have a and a cough produces blood and phlegm. I also chest pain and difficulty breathing. My skin nails have tint my fingers are clubbed. I ' very and I have lost weight.,Degenerative Infectious Diseases
"I have a cough that is dry and hacking, and it doesn't stop. I also have difficulty breathing, and I get short of breath easily. I feel very tired and have no appetite. I have lost a lot of weight, and my fingers and toes are clubbed and swollen.",Degenerative Infectious Diseases
I ' ve been feeling sick a time. have a fever and I ' m very tired. I have pain in joints and muscles. I sweat lot at night and I ' lost some weight. I also stones. And I have problems my lungs. I and wheeze. I have shortness of breath and chest pain. The doctor said I have sarcoidosis.,Degenerative Infectious Diseases
"'I called for cedar tree, and waste and Againl, and I hold on my face, as it a staff of stones Most: I am like the of a, and a staff; my fingers are brass, and my fingers are in the midst of fingers.'",Degenerative Infectious Diseases
"'I have a very annoying and persistent cough, have difficulty breathing, I have breathing, difficulty breathing, have breathing, I am tired, I no appetite, I lot of thinning, fingers and toes are stiff and painful.'",Degenerative Infectious Diseases
"Have a constant cough, it ' s dry, it ' s exciting. I have a short breath, and when I ' m, ' s worse. I ' tired, don ' t have an appetite. I ' ve lost a lot of, and my and are.",Degenerative Infectious Diseases
"I suffer from sarcoidosis. It ' s a that causes in my lungs and organs. I have a lot of symptoms, like fever, fatigue, pain, muscle weakness, night sweats, swollen nodes, weight, and kidney. I also have a cough, shortness of, , and wheezing.",Degenerative Infectious Diseases
"'I am come to make a stone and a blood with blood, and with the blood of men, and I am full of wrath: and my skin and my fingers are broken by reason of the skin, and I am broken down.'",Degenerative Infectious Diseases
I like ' m dying. I have PAP and a infection. I have a terrible cough makes me blood and phlegm. My chest is pain and I have fever. My skin nails are blue lack of oxygen. I can hardly breathe.,Degenerative Infectious Diseases
' ve had cough for more than three and ' s terrible. I a chest pain and I cough the blood and sputum of my lungs. I ' m very and and I have no appetite. I ' ve lost weight and I have and chills. sweat a lot at night.,Degenerative Infectious Diseases
I a nasty cough that has been going on for more than three. I have pain and I cough up blood and sputum from my. I ' weak and fatigued I have no appetite. I ' ve lost weight and I have fever and chills. I sweat at night.,Degenerative Infectious Diseases
I have PAP and a infection. ' s disease that the lungs. have pain and a. I cough up blood phlegm. I ' m very tired and I have lost weight. My skin and are blue and my fingers are clubbed. have trouble breathing and I feel awful.,Degenerative Infectious Diseases
"'I had terrible cough, which for more than weeks. I pains, bleeding from my lungs, and I was very weak and and had no appetite. I lost a little, and cold. I a at night.'",Degenerative Infectious Diseases
'Also have a persistent cough that produces blood and phlegm. My chest I difficulty breathing. My and nails have bluish. They diagnosed me and infection.',Degenerative Infectious Diseases
"' ve had terrible cough more than three weeks, chest, blood cough stains from my lungs, I ' m too weak and don ' t have an, I ' ve lost weight, ' ve fever and chills, I sweat a lot at night.",Degenerative Infectious Diseases
"My are infected with, and my lungs are filled with a thick substance, I have pain and fever, and I cough blood and blood, ' m very tired, and I lose weight, and my and are swollen, and my fingers are clogged, and I ' m having trouble breathing I feel terrible.",Degenerative Infectious Diseases
"I have a cough that dry and irritating. I also have shortness of breath, and gets when I ' m active. feel very tired and have no. have lost a lot of weight, and fingers and are and swollen.",Degenerative Infectious Diseases
'My symptoms began with a and shortness of breath. I also had chest and wheezing. I felt feverish and weak. lost some weight had in my neck and armpits. I also kidney stones. doctor told I sarcoidosis.',Degenerative Infectious Diseases
"'I have a lot of symptoms, such as chest pain, fever, cough, blood, phlegm, tiredness, weight loss, cyanosis, and my fingers engaged. I have difficulty breathing and feel very sick.'",Degenerative Infectious Diseases
"'I have been diagnosed with sarcoidosis. It is disease that causes in my lungs and other organs. I symptoms, as, fatigue, joint pain, muscle weakness, night, swollen nodes, weight loss kidney.'",Degenerative Infectious Diseases
"I have pneumonia and PAP. I cough with blood, blood and chest pain. I have difficulty breathing, cyanide. My skin and nails are blue, my fingers are sticky. I'm very tired, and I lose weight.",Degenerative Infectious Diseases
"I from sarcoidosis. It ' s disease that inflammation in my lungs and organs. have a lot of symptoms, like fever, fatigue, joint pain, muscle weakness, night sweats, swollen nodes, weight, and kidney. I also have a, shortness of, chest pain, and wheezing.",Degenerative Infectious Diseases
"'I from sarcoidosis. It is a that inflammation in my lungs and other organs. have lot of, such as, fatigue, joint pain, muscle weakness, , swollen lymph, weight loss and kidney stones.'",Degenerative Infectious Diseases
"Joints and muscles hurt, and I lose weight without trying. I feel bad even when ' sitting or lying. also have a constant cough and. My finger and toes seem swell.",Degenerative Infectious Diseases
"'Am go on my journey, and I black, while I black, and I shall put on my shoes by night, and the goats shall: therefore said, This is my grief, yea, it is but sorrow.'",Degenerative Infectious Diseases
Have a lung infection and PAP. It ' condition that makes the lungs fill up a substance. I have chest pain and a. I cough up and phlegm. I ' very fatigued and I have lost weight. My skin and nails are bluish and my fingers are clubbed. I have breathing and I horrible.,Degenerative Infectious Diseases
"All my fingers are broken off, and I am weary of my hand. As for me, I have shed blood and blood in the midst of my gates. I don't know in the midst of my gates. Every day that I have no power to speak to it.",Degenerative Infectious Diseases
"'I have losing weight without meaning, and I have no appetite. I also feel very. have a that is and hacker. And I have breathing, when I rest. fingers and toes are also swollen and curved.'",Degenerative Infectious Diseases
"I ' ve been coughing for more three weeks, and ' s getting. hurts, sometimes I spit blood and blood. I ' m weak, weary, I don ' t want to eat. I ' m little thin, cold and feverish. I sweat a lot at.",Degenerative Infectious Diseases
"' ve been tired, and have and cough sometimes leading to blood, and my skin and nails look wet, and I breathing problems, and the doctor said I infection in the lung and something called PAP.",Degenerative Infectious Diseases
"My doesn ' go, it makes me cough. I ', I can ' t breathe, I can ' breathe. I ' m very tired, I ' t have an appetite. I ' m so, my fingers toes are swollen.",Degenerative Infectious Diseases
I PAP and lung infection. It ' s a disease that affects the lungs. have pain and a fever. I cough up blood phlegm. I ' tired I have lost weight. My skin and are blue and my fingers are clubbed. I have trouble breathing and feel awful.,Degenerative Infectious Diseases
