clinical_text,disease
'I have difficulty breathing. I cough. I chest pain when I. I have shortness of breath. I have pneumonia often. The doctor I have cysts my. They create my.',Encapsulated Lesions
'I had a cough a while and it got. I coughed blood sometimes and it very upsetting. My chest hurt and I had trouble breathing. doctor said that I my lungs and that it it difficult for me to breathe. I had no and I lost lot of weight.',Encapsulated Lesions
"For breath failed, my has failed. I have watch my life. If I tasted, can I see? If don ' t devour it in the, am I still full of blood?",Encapsulated Lesions
I have in lungs it ' s causing me a lot of problems. I can ' t breathe. I wheeze and a hoarse voice. I have pain in my chest and back. I cough up rust - colored phlegm sometimes. I have lost and weak. I ' m very.,Encapsulated Lesions
'My chest pains a lot when breathe in. also a rough and poor. some and pus in my sputum and it has nasty smell and taste. I feel like I have an abscess in my chest vessels or glands.',Encapsulated Lesions
"I coughed, and I got. I didn ' t think, then I started spitting blood. I to the and told me there was a cyst in my lungs. They said it a life - condition, and I needed surgery.",Encapsulated Lesions
'Breathing is a struggle for me. I slap and cough all the time. I have chest pain with breathing. I have shortness of breath.',Encapsulated Lesions
I have terrible pain in my chest when take a deep breath. I also have a persistent and a low - fever. My spit is streaked with blood pus and it has nasty and taste. I ' m sure I have an abscess my chest.,Encapsulated Lesions
I a severe cough that ' s not improving. I cough up it ' s distressing. My chest painful and I have breathing. The doctor said I have fluid my lungs that it ' s reducing my breathing. I have no interest in food and I ' ve lost lot of weight.,Encapsulated Lesions
"I have nodules lungs I have a lot of symptoms that affect my life. have breathlessness, wheezing, hoarseness, pain, coughing of, back, weight loss and weakness. am very anxious worried. I ' t know how to handle this.",Encapsulated Lesions
I ' ve been chest pain for long time. It ' s worse I cough laugh. And I cough a. there ' s in my spit. It ' very scary. I also have a hoarse voice that ' t like me. And I feel very weak and tired.,Encapsulated Lesions
"I've been coughing for a long time, but the situation hasn't improved. I cough sometimes with blood, which is terrible. My chest hurts, my breath is hard. My lungs have some fluid, which makes me feel weak. I eat little, I lose a lot of weight.",Encapsulated Lesions
"I lot of pain in my chest, I cough or laugh. It feels like something is pressing on my. I also spit out blood sometimes. I no energy and I ' always tired. I don ' any appetite I ' m losing weight.",Encapsulated Lesions
I have nodules in my lungs and ' me lot of problems. I '. I wheeze and have a hoarse voice. I have pain in my chest back. I cough blood or rust - colored phlegm sometimes. I have lost weight and feel weak. I ' m very upset.,Encapsulated Lesions
'Have acute pain in my I breathe. also have a dry cough a weak appetite. I that is bloody and and it has a bad smell and.',Encapsulated Lesions
I ' t breathe properly. I wheeze and cough all the time. I have chest pain when I. have shortness of breath. I recurrent pneumonia. The doctor said I cysts my. They interfering breathing.,Encapsulated Lesions
"I have difficulty breathing. I feel something in my chest that is blocking the air. I have a lot of pain when I breathe, and I wheeze a lot. I have pneumonia again, and it's not the first time. The doctor said I have cysts in my lungs that are making it hard for me to breathe.",Encapsulated Lesions
My chest aches a lot when I breathe in. I also have a wet cough and a poor appetite. I see some blood and pus in my sputum and it has a nasty smell and taste. I feel like I have an abscess in my chest muscles or ribs.,Encapsulated Lesions
"I ' ve had a cough for a long time, and it ' s getting better. I cough up blood sometimes, and it ' s very. I have in my chest, and I have a trouble breathing. I some fluid in my lungs, and it makes me feel miserable. don ' t eat much, and ' ve a lot.",Encapsulated Lesions
"In last few weeks, I ' ve had this cough that won ' t go away. ' s worse at night, I up often gasping for breathing. I noticed that sometimes water blood, really.",Encapsulated Lesions
"'"" Behold, I don \' t know I will do. I nothing to eat or what to drink; for I have filled the with, and I don \' t desire the blood of men, they who blood man.'",Encapsulated Lesions
Have in my lungs and it ' s my life. can ' breathe well. I wheeze and hoarse. I have chest and back pain. I cough up or brown stuff. I have weight and feel. I don ' t know how to with this.,Encapsulated Lesions
'I been feeling very weak and tired lately. also have a fever and sweats. I cough sputum that is bloody and purulent. It has a and. I think I have an abscess in or airways.',Encapsulated Lesions
'I had a cough for a it got worse. I coughed up blood sometimes and it was painful in my chest. I had breathing and I felt like I suffocating. said I had fluid around my lungs and that it made it difficult for me to breathe. I had no desire to I lost a weight.',Encapsulated Lesions
I had pneumonia a ago. It was very bad. I had a high fever and a of coughing. But it didn ' t go away completely. I a cough and a fever. I when I breathe. It feels like I can ' t.,Encapsulated Lesions
"'If I were with that meat my sight, I would lots: if I not, when I saw that no sin in belly, then I would have filled my bosom as a thread, and I am with the ark.'",Encapsulated Lesions
Had a for a while and it got worse. I warmed up blood sometimes and was scary. My chest was painful and I had trouble breathing. doctor said I had around my and made it difficult to breathe. I didn ' t have a of food and lost a lot of.,Encapsulated Lesions
I have nodules in my lungs it ' making me. I can ' t breathe well. I wheeze sound hoarse. I have and back. I cough up blood or. I lost weight and weak. I ' m very unhappy.,Encapsulated Lesions
It's been a long time since my chest hurts. It's worse when I cough or laugh. And I cough a lot. Sometimes there's blood in my spit. It's very scary. I also have a rolled voice that doesn't look like me. And I feel very weak and tired.,Encapsulated Lesions
"I have nodules in my lungs and I have lot of that affect my life. have breathlessness, wheezing, hoarseness, chest, coughing, back pain, loss and weakness. I am anxious and worried. I ' t know to handle this.",Encapsulated Lesions
I have a cough that doesn ' t go away. I cough up blood and ' s very alarming. My is and I have trouble breathing. doctor said I have fluid around my lungs it ' s affecting my. I have no appetite and ' ve lost a lot of weight.,Encapsulated Lesions
"Have been very weak and tired lately. have lot chest pain, especially when I breathe deeply or laugh. Sometimes I cough up or some stuff. I don ' t know what ' s me.",Encapsulated Lesions
"I that was a breath in my; how many are things that were in ark? When I had living among my life, I didn ' t heed to when I fell, was better for me.",Encapsulated Lesions
"I have a sharp cough ' t get. I cough sometimes, and it ' s so annoying. My chest hurts, and have. said I have around my lungs.",Encapsulated Lesions
"'And took my breath, and gave up the ghost; and when I had off the ghost, hid my life from them; it came to pass, that when I fainted, heart, This is soul: for it was said in my heart, The of my soul.'",Encapsulated Lesions
"I've had a cough for a long time, and it's not improving. I cough up blood sometimes, and it's very horrendous. I have a pain in my chest, and I have a difficulty breathing. I have some fluid in my lungs, and it makes me feel wretched. I don't eat much, and I've lost a lot of weight.",Encapsulated Lesions
"My chest lot breathe in it, and I also have cough low appetite, and I see some blood and vomiting in my country ' s spots and it smells and it tastes awful, and I feel like I a sternum or.",Encapsulated Lesions
I nodules in my lungs and it ' s affecting. I can ' t breathe well. I wheeze and. I have chest and pain. I cough up blood stuff. I have lost weight and feel weak. I don ' know how to cope with.,Encapsulated Lesions
I have nodules in my lungs and ' causing me a lot of problems. I can ' t breathe properly. I wheeze and a hoarse voice. I have pain my chest and. cough or rust - colored phlegm sometimes. I lost weight and weak. I ' m very upset.,Encapsulated Lesions
'I have nodules lungs and I have a lot of. have shortness breath and wheezing. I also have a rolled voice. have pain my chest back. I cough blood or brown stuff. I have lost and feel weak. I am very depressed.',Encapsulated Lesions
