clinical_text,disease
"I have difficulties I chest pain. I also have a cough and I feel depleted. checked my blood and said I hypoxemia, which is low oxygen in the blood. It ' from the my lungs, is hydrothorax.",Higher Density
"' m struggling to breathe, my chest hurts. cough, I ' tired. They test my oxygen, say I a lack of oxygen, the amount oxygen in my blood very. It ' because I have liquid in my lungs, hydrogen oxygen.",Higher Density
"I ' ve been coughing lot for a time, it ' s dry cough, and it ' s not clear anything, but it makes my chest hurt so much, I have breathing problems, I feel pressure in chest, ' s worse when I breathe deep, I feel chest pain, I also have fever and chills, and sweat so much at night, I weight, and I feel.",Higher Density
' s for to. My chest hurts. cough and it ' s hot. I have weak chest.,Higher Density
"I ' been feeling short breath, even I ' m just or lying, and I don ' t have enough in my lungs, and sometimes I have acute pain in my chest, especially when I cough, and I, and I ' m very dry and irritable.",Higher Density
"I struggle to breathe, have to take shallow breaths. have lot of chest pain, and increases when I cough. I cough all time, it ' very bothersome. don ' t feel well at all.",Higher Density
"'I am dismayed and. am full heaviness. I am like a; me has broken feet; and they have turned. have made me disaster, and have not bowed down my feet.'",Higher Density
"Feel like ' m suffocating, I a pain in chest, I have a cough. burp a lot. It ' called chest cramp. It ' s.",Higher Density
"Is hard for me and I pain in chest. I also have a cough and I ' m fatigued. They my and I have hypoxemia, which low oxygen in the blood. ' s from the fluid in, which is hydrothorax.",Higher Density
"Have terrible chest pain. It ' s hard to breathe, and it looks like is pressing my lungs. ' s worse when I cough, is a cough that doesn ' t produce mucus. I also have and chills, and I a lot night. I ' lost weight, and I feel very bad.",Higher Density
"Have a problem breathing, and a my chest. I also have a fever, a cough, and. I have fluid in lungs, it ' s called pleural effusion.",Higher Density
"'I also have fever, cough and hiccups. It is a condition called pleural effusion, where there is fluid in the chest cavity.'",Higher Density
"'Have difficulty breathing and I have pain. I also have cough and. They checked my blood and said had hypoxemia, which low in in the blood.'",Higher Density
"Have a cough that is painful. It makes my chest hurt a lot. I have trouble breathing, and tightness in my. It ' s worse when I breathe in deeply. I a stabbing pain in my chest. also have a fever and chills, and I sweat a lot at night. I ' ve lost some weight, and I very bad.",Higher Density
"I breathing, and I have pain in my chest. fever, a cough, and hiccups. have in my lungs, and it ' s called pleural effusion.",Higher Density
"I ' ve this dry cough for a while now. It doesn ' t go away, matter what I do. And makes chest hurt so much. Sometimes I a pain when I inhale. also sweat a lot night, and I have a fever and chills. miserable.",Higher Density
"'Am full of spirit, so that full of heaviness, I took upon my horses, and holding my feet, that I had the ark of life, and the bars thereof: , behold, place called stick, when I am called forth.'",Higher Density
"'My chest was very painful, and it burned when I coughed. I coughed a lot, and it was very painful. I was worried about what was happening to me.'",Higher Density
"Have trouble, feel like I ' m suffocating. My chest is sore, and it when I cough. I a lot, it ' very harsh. ' m worried about what ' s going on me.",Higher Density
"Have problems and I chest pain. also have a cough and I. They measured blood oxygen and said I have hypoxemia, which is low oxygen in blood. It ' s because the fluid in lungs, which is hydrothorax.",Higher Density
"I have trouble breathing, and it's very painful to inhale. I also have a fever, a cough, and hiccups. They diagnosed me with pleural effusion, which means I have fluid in my lungs.",Higher Density
"Breathing is so hard for me, I have to breathe fast and shallow. I feel so much pain in my chest, and it gets worse when I cough all the time, and it's so annoying. I wish I could breathe better.",Higher Density
"I ' been coughing a for a long time, it ' s dry cough, ' s not clear anything, but it makes my hurt so, I have breathing problems, and I feel pressure chest, it ' s worse when I breathe deep, I feel severe chest pain, I also fever chills, and I sweat so much at night, I lost weight, and I feel so sick.",Higher Density
"I ' up a and I ' m tired. They said I have low oxygen in my, is anaemia. Because I have in my lungs, is called hydrothorax.",Higher Density
"When I didn ' t that there is nothing my, though I didn ' know, though hot my zeal, and you didn ' t know it in zeal,",Higher Density
"I find it hard to breathe and I have pain. I have a cough and I exhausted. checked my blood oxygen said I hypoxemia, which is low oxygen in blood. It ' s because of the fluid in, is hydrothorax.",Higher Density
"I have a dry that is bothersome. It makes my chest hurt a lot. I have difficulty breathing, and I a tightness my chest. It ' when I breathe in deeply. I feel a stabbing pain in my chest. I also a fever and, and I a lot at night. I ' ve lost some weight, and I very bad.",Higher Density
"Breathing is a for, and have a lot of my chest. also a fever, a cough, and hiccups. It ' s because pleural, which is fluid in the chest.",Higher Density
"I ' t breathe well, I had to take quick and shallow breaths, I had a of chest pain, and it increased I coughed, all time, and was so, I didn ' feel good.",Higher Density
"Breathing a struggle me, and I have lot pain my chest. I also a fever, cough and. It ' s because a pleural effusion, which fluid in my chest.",Higher Density
"'I had trouble breathing, I like I was suffocating. My very sore, and it throbbed I coughed. lot, and it was very harsh. I was worried was going on with.'",Higher Density
"'I struggle to breathe I have chest pain. I have a cough I feel tired. tested my blood oxygen and I have hypoxemia, which low in in the blood. It is to fluid in lungs, is hydrothorax.'",Higher Density
"I been very short breath lately, and hurts breathe in deeply. get fever and a cough too. I don ' t what ' s wrong with me.",Higher Density
"Had difficulty breathing normally, I always like air. My hurt a lot, especially when I was trying to deeply. I coughed a lot, and it hurt me. I didn ' t know what was.",Higher Density
