clinical_text,disease
I severe pain the sternum. It was like a in chest. couldn ' t.,Lower Density
"There ' s a stab my chest makes it hard to breathe. .. and my skin is blue. .. and I ' m my so fast. .. and I have a to hack, too.",Lower Density
"'I have a sharp, chest pain that worsens I try to breath in. also shortness of breath, skin, fatigue, rapid and heartbeat, and,.'",Lower Density
'I had a sharp pain my chest that worse when I breathed in. I was short of breath my skin was. felt fatigued and my breathing and were rapid. I had cough.',Lower Density
'I a defect breathing. cough induces phlegm. I have low. I have frequent. My chest is inflated and round.',Lower Density
"I ' t breathe. I can ' t breathe, I can ' t, I can ' t even rest. I ' t a infection. I have of fatigue, mouth keeps coughing. My is wide and my is round.",Lower Density
"I feel a dull ache in my chest, under the breastbone. It has been there for a couple of days. It doesn't seem to go away. It makes me feel short of breath.",Lower Density
"'I have a puncture pain in my chest, under the cane, that happened when I was running, that I felt a hole in my chest, that I had difficulty breathing.'",Lower Density
"'I am mad for my, when I am mad; spirit, and my spirit faileth: there a little while, there is a little, and there is, I have consumed them.'",Lower Density
'Have difficulty. I a productive cough. am extremely. I recurrent infections. My chest and round.',Lower Density
"'The past few days, I have been some chest, under. It gets worse when I cough or sneeze. It feels like there is in my chest.'",Lower Density
"First was cough, I felt wound in my. I couldn ' breathe properly, my heart was racing. I noticed my skin was, and I weak.",Lower Density
"' got, I ' got coughs that phlegm, I ' ve scarce, I ' ve got repeated chest infections, my chest is and.",Lower Density
"I am faint and bowed down with teeth. I weary with. My heart is faint, and so I can ' hear. can ' t listen.",Lower Density
"'My hurts, my stomach, stomach vomits, my constipation, my stomach, my, my heart, my pressure is, panic.'",Lower Density
I ' experiencing lot in my stomach. It ' s a pain. I also nausea and vomiting. My stomach is bloated and. I have fever and a fast heart rate. I feel low blood pressure. ' concerned.,Lower Density
"I couldn ' t much, I couldn ' out my complaint. I cast for my on. I was Out the distress, but I bore on my heart. kept silence, killed some of the blood of men.",Lower Density
"'Suddenly there was a chest pain under the chest, very strong and sharp, and I had a heart attack, and I had difficulty breathing.'",Lower Density
"For I know not what that mouth, when there a gave to my, and there is who walk among them, and don ' t what I will do; but I don ' t know I do;",Lower Density
I had a sudden chest pain below the sternum. It was very sharp and intense. I felt like I was suffocating. I also had a rapid heartbeat.,Lower Density
