clinical_text,disease
Have a severe unsteadiness that makes me spin tilt. I also have a headache that very bad. It makes me see halos shadows. have weakness numbness in both sides my face. I can ' t speak understand others well.,Mediastinal Changes
"'I have a fever and night for a weeks. I also have a cold a runny nose and sore throat. I have lymph nodes in my and other areas. They hard and fixed, they are growing rapidly. I wonder if have lymphoma or another serious disease.'",Mediastinal Changes
"For all flesh has fallen on my head, and have seen a vision; and there is vision in me, and I don ' t see in visions: for in visions have not vision, nor its arm; have spoken it in my vision, in my.",Mediastinal Changes
"'Am become little one, and I set on my feet: if sit, shall I set my, raiment of my feet; which when I am sick, I shall wash my feet, and take hold of my.'",Mediastinal Changes
"'I had fever and sweat for a while. I also have a cold with a runny nose and a sore throat. I lymph nodes in. are hard and painful, and grow up fast. I wonder if I have lymphoma or some other serious disease.'",Mediastinal Changes
Have a severe unsteadiness that me fall down a lot. I have a headache that is very bad. It makes me stars black out. have a weakness and numbness in left arm and leg. I can ' t speak others well.,Mediastinal Changes
I have a pain in my chest that gets when I flat breathe. It ' s when I sit and lean. I also pain in my left shoulder and a dry cough. I feel very anxious and have palpitations. I have a high temperature.,Mediastinal Changes
"I ' ve got sharp pain in my chest that hurts more I cough, swallow, or lie flat. ' s better I and lean forward. also have trouble breathing I down. I have a dry cough and a fever. I also feel my heart racing and I nervous.",Mediastinal Changes
"I ' ve been this sharp stabbing chest pain that gets worse when I cough, swallow flat. It feels better when I sit up and lean. also breathing, a dry, a fever and fatigue. heart is beating fast and irregularly.",Mediastinal Changes
"My chest hurts lot. It ' s a and stabbing that worse I lie or cough. I have to sit up lean forward to feel better. I also pain in my back, neck, and left shoulder. have a dry cough and a fever. I feel my heart pounding and get scared.",Mediastinal Changes
"'I a cold with a runny nose, sore, and a fever. I have swollen lymph over my. They are hard and, and they are growing. I worried that I have cancer or lymphoma.'",Mediastinal Changes
I have severe that makes me fall down a lot. I also have a headache that very bad. makes me see stars black out. I also have a weakness and numbness my left. can ' t speak or understand others well.,Mediastinal Changes
"I had a fever and at night for a while, and had cold, a broken nose, a sore throat, and that lymphoma swollen and hard, that it grew fast, that I ' move when touched the lymphoma, and I wanted to know if I was suffering from lymphoma or other serious diseases.",Mediastinal Changes
"'I had a fever and night sweats for a. I also have a cold with a runny nose and a. I have swollen lymph nodes in my and other. They are hard and, and they are growing rapidly. I if I have or serious disease.'",Mediastinal Changes
Have a weakness and numbness in sides of my face. I can ' move them well. also have a headache that is very. It me cry and scream. I also have a vision loss. can ' t anything the corners of my vision. I have trouble speaking and others.,Mediastinal Changes
I have severe that makes me fall down lot. also a headache that is very bad. It makes me see stars and out. I also a weakness and numbness in left arm. I can ' t speak or understand others well.,Mediastinal Changes
Also have a weakness and numbness left arm and leg. I can ' t move well. I have a loss of vision. I don ' t my side. I have difficulty talking and understanding.,Mediastinal Changes
I have a constant that very severe. makes me dizzy and. I also have of vision. don ' t see anything on left side. I also have a weakness and numbness in my left and leg. I have difficulty speaking and others.,Mediastinal Changes
"I have this acute pain in chest that hurts when I, swallow or lie flat. It ' s better when I sit down lean forward. also find it to breathe when I lie down. I have a a fever.",Mediastinal Changes
My legs are weak and numb and can ' t move them. My headaches are so that I sweating shaking. lose my eyesight. I can ' t in my eyes. It ' hard for me to talk and understand people.,Mediastinal Changes
"I ' t go from him, but will make myself an end of dry things, and I will evil on him, even that I have not; and I will speak righteousness and justice in a just man; neither shall I know any, I he speak.",Mediastinal Changes
"'I a runny nose, a sore throat, a fever. I have swollen lymph my body. They are and fixed, growing quickly. I scared that I have cancer or lymphoma.'",Mediastinal Changes
"Have sit and lean forward to feel better. I also have pain back, neck and left shoulder. I dry cough and a fever. I my beating and I ' m.",Mediastinal Changes
