clinical_text,disease
"I looked at face, I found none. There no one who shut up, so was no one who ' t enough. They left the spoil, found the.",Normal
"I ' ve been better than, there ' no more breathing. ' s a little, no chest.",Normal
"Have right eat, build anything. am weary of, I bear it. Don ' t be afraid.",Normal
"' been before, and there ' no more. No chest pain, a little coughing.",Normal
"No more breathing problems for me, I feel better than before, I still have a little cough, but it's not dangerous, and I don't have any chest pain.",Normal
"I better than before. I no pain or breathing. just have a cough, it ' not.",Normal
"For my ark is gone over a little while, and I am not able to rise. I have not found a little while, neither do I rebuke it. Don't leave it, neither do it.",Normal
"I ' m. I don ' t any breathing chest. I better than before. I just have little cough, but it ' nothing worry about.",Normal
"Feel better than ever. I don ' t have or. I little cough, but ' not so.",Normal
"No more for, and there ' s no chest. I ' been, but a little coughing.",Normal
"Don ' pains or breathing difficulties. ' s coughing, ' s not serious.",Normal
"I ' t any breathing or chest pain. I feel. I only a little cough, it ' not.",Normal
"There ' s, and ' no more breathing difficulties. ' ve been better than before, ' s a little.",Normal
"I feel better. I chest pain or difficulities. I have a cough, but ' not serious.",Normal
"There's no more breathing difficulties, and I've been feeling better than before. There's a little coughing, but no chest pain.",Normal
"More difficulties for me, and ' s chest pain. Just little, but I ' better than.",Normal
"Don ' t have breathing problems or pain. better before. I only a cough, it ' s not bothersome.",Normal
"'Not of me, nor of me, was there any after this manner: but I was before thy face, and before thy face.'",Normal
"There's no more trouble breathing, and there's no chest pain, I've been feeling better than before, but there's a little cough.",Normal
"I ' been than, ' s more breathing difficulties. Just a little coughing, but pain.",Normal
"I don't have chest pains, I can't breathe. I feel better than I used to, but I have a little cough.",Normal
"I ' m doing well. I breathing problems or chest pain. I feel than before. just cough, ' s nothing to worry.",Normal
"He is more righteous than I. There is no lack of nothing. They are given to me, but I don't see him. I am but a little one, and you can't see him.",Normal
"Don ' t have breathing problems or pains. better than ever. I ' m up a bit, but ' s a.",Normal
"For my ark has gone out in pain. I have nothing to do with it. I don't see anything more than it, neither have I done it.",Normal
"My chest pain gone. don ' have any difficulities. I better than before. only a, it ' s not a big.",Normal
"' been, there ' no more breathing difficulties. There ' a little coughing, but no chest pain.",Normal
"No more breathing difficulties for me, and there's no chest pain, just a little cough, but I feel better than before.",Normal
"No more breathing difficulties for me, and there's no chest pain. I've been feeling better than before, but a little coughing.",Normal
I feel better than. ' t chest pains. ' s just.,Normal
"I than ever, and ' s pain, there ' s little, but no difficulties.",Normal
"I feel better than ever. I don't have chest pains or breathing. I have a little cough, but it's not serious.",Normal
"Have no chest pain or difficulities. feel than before. I cough a little, but ' not a big.",Normal
"' m better than before. I have chest pain. I a little cough, but it ' too bad.",Normal
"My chest pain is gone. I don ' t problems. I than. I only have a little, ' s a big deal.",Normal
"Feel than before. ' t have breathing problems or pain. have a little cough, but ' s.",Normal
"My chest pains are gone. No breathing problems. I'm a little better than ever. I'm just coughing, but it's no big deal.",Normal
"' no chest pain, I better before.",Normal
"I feel better than. don ' have chest problems. I just a little cough, ' s not problem.",Normal
"There ' s no chest, ' been feeling better than before. No, little coughing.",Normal
"Don ' t pains difficulties. It ', but it ' s not serious.",Normal
"I don't have any chest pains or breathing difficulties. I feel better than ever. I cough a little, but it's not serious.",Normal
"I feel better ever. I don ' chest pains or breathing. have little cough, but it '.",Normal
"More difficulties for me, I ' feeling better than before. Just coughing, but pain.",Normal
"Don ' t any problems or pain. I feel better than before. I little, ' s not bothersome.",Normal
"More breathing me, and I was than before, there ' s little cough, no chest.",Normal
"I have no chest pain or breathing problems. I feel better than before. I only cough a little, but it's not a problem.",Normal
"I ' feeling better than. I have pain or. have a little cough, it ' s not a.",Normal
