clinical_text,disease
"I have a chronic cough that is. It ' s very hard to breathe and I a lot of mucus and blood my. It ' s very and it makes me spit. I also have a lot of chest pain and crackling. I feel very tired and I have lost lot. My nails are also abnormal, they are thick and curved.",Obstructive Pulmonary Diseases
'It a headache and a throat. I got and chills. I had trouble breathing and I felt dizzy. My was and I was coughing up mucus. I felt confused and.',Obstructive Pulmonary Diseases
"I have been coughing up blood for a while now. It ' s scary and don ' t know what to do. I also have lot chest pain and wheezing when breathe. like I can ' t catch my breath. I think I have an infection too, because fever and chills.",Obstructive Pulmonary Diseases
I had a sharp in chest and arm made me gasp. I felt couldn ' t breathe I was wheezing. I also had a rapid heartbeat and I was sweating lot. I felt very nervous. coughed and I saw blood in my spit.,Obstructive Pulmonary Diseases
"I don ' t know what ' s wrong with me. I have cough that won ' t go away, it ' s very bad. I also have lot of mucus in my lungs, and it ' s very thick hard to get. Sometimes I see blood in it. I have a lot of chest pain and shortness. also get infections very easily. My nails look too, they are and swollen.",Obstructive Pulmonary Diseases
"I don ' t know what ' s with me. I have a cough won ' t, and it ' s very. I also lot of mucus in my lungs, and it ' thick and difficult to get out. Sometimes see blood in it. I have a lot of chest pain and shortness of. I also have infections very easily.",Obstructive Pulmonary Diseases
"'Woe because the spoiling of spoil! what done to the of Christ? For will shed upon it, and it shall devour it.'",Obstructive Pulmonary Diseases
I ' ve got a fever and I ' m sweating a lot. I ' ve got a cough I ' coughing up mucus and. I ' got difficulty and I ' ve got chest. ' ve got energy and I ' ve got no. I ' ve got nausea I ' ve got vomiting.,Obstructive Pulmonary Diseases
"I have a chronic cough that is very annoying. It ' s very hard to clear my lungs and I have a lot and blood in my. It ' s and it me. I also have a lot of chest pain and of breath. I feel very weak and I have lost a lot weight. My are also different, they are clubbed and swollen.",Obstructive Pulmonary Diseases
'I have a fever and I sweat lot. I have cough and I have mucus in my chest. have difficulty I chest pain. I have energy and I have no appetite. I feel nauseous and I.',Obstructive Pulmonary Diseases
"I, I ' m shaking lot. I cough, my nose and blood. can ' t breathe, my chest hurts. I don ' t have energy, I ' t stomach. ' m sick.",Obstructive Pulmonary Diseases
"I ' ve been feeling very weak and weary recent days. I don ' an appetite, I '. I have, ' m sweaty. Sometimes cough and bleed have chest pains.",Obstructive Pulmonary Diseases
"I ' ve high fever and I ' m shaking so, I ' ve got cough and I ' ve snot and blood, ' ve got trouble breathing and I ' m in my, I ' m so and I don ' t want to anything, I ' nauseous and I have a headache.",Obstructive Pulmonary Diseases
"I chronic cough that is very annoying. It ' s very hard to clear my lungs and I have lot of and blood in my sputum. It ' s very gross and makes me sick. also have a lot of chest and of breath. I very weak and I have lost a lot of weight. My nails are also different, they are clubbed and.",Obstructive Pulmonary Diseases
"'I a terrible for months, and it was very difficult to breathe, and I a lot of shaking and shaking in chest, and I coughed a lot of slime and blood, and it was, and I had a lot in my chest, and I was very tired, and I lost a lot of weight, my were deformed, my hair thick and bent.'",Obstructive Pulmonary Diseases
"My chest suddenly got, screamed so much, couldn ' t breathe, I started sweating, coughed so bloody, lost my and fell ground.",Obstructive Pulmonary Diseases
"'Have a chronic cough that is very upsetting. It is very difficult to breathe I have a lot of mucus blood my bronchial. is very terrible and makes me spit. I also have lot of chest and crackling noises. I feel very tired and I lost a lot weight. My nails are also abnormal, they are thick and curved.'",Obstructive Pulmonary Diseases
"'I was asleep, my sorrow troubled. It was sharp sword, and I strong my heart. In my flesh I it, it became loathsome.'",Obstructive Pulmonary Diseases
"I ' ve much, and have snot in my throat, I have a fever, ' m cold, I have breathing, I have pain my chest, I ' m so tired, don ' t have an appetite, feel nauseous I feel headaches.",Obstructive Pulmonary Diseases
